,Case No.,Claimant(s),Respondent(s),Status,Link
419,ARB(AF)/12/3,"Mercer International, Inc.",Canada,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/12/3
420,CONC(AF)/12/1,"Hess Equatorial Guinea, Inc. and Tullow Equatorial Guinea Limited",Republic of Equatorial Guinea,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=CONC(AF)/12/1
421,ARB/12/10,RSM Production Corporation,Saint Lucia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/10
422,ARB/12/9,Dan Cake (Portugal) S.A.,Hungary ,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/9
423,ARB/12/8,Société Industrielle des Boissons de Guinée,Republic of Guinea,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/8
424,ARB/12/7,"Slovak Gas Holding BV, GDF International SAS and E.ON Ruhrgas International GmbH",Slovak Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/7
425,ARB/12/6,Muhammet Ҫap & Bankrupt Sehil Inşaat  Endustri ve Ticaret Ltd. Sti. ,Turkmenistan,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/6
426,ARB(AF)/12/2,Grupo Francisco Hernando Contreras,Republic of Equatorial Guinea,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/12/2
427,ARB(AF)/12/1,Apotex Holdings Inc. and Apotex Inc. ,United States of America,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/12/1
428,ARB/12/5,Isolux Corsán Concesiones S.A.,Republic of Peru,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/5
429,ARB/12/4,Supervision y Control S.A.,Republic of Costa Rica,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/4
430,ARB/12/3,Accession Mezzanine Capital L.P. and Danubius Kereskedöház Vagyonkezelö Zrt.,Hungary ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/3
431,ARB/12/2,"Emmis International Holding, B.V., Emmis Radio Operating, B.V., and MEM Magyar Electronic Media Kereskedelmi és Szolgáltató Kft.",Hungary ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/2
432,ARB/11/33,Adel A Hamadi Al Tamimi,Sultanate of Oman,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/33
433,ARB/11/32,Indorama International Finance Limited,Arab Republic of Egypt,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/32
434,ARB/11/31,"Gambrinus, Corp.",Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/31
435,ARB/11/30,Hortensia Margarita Shortt,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/30
436,ARB/11/29,Getma International and others,Republic of Guinea,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/29
437,ARB/11/28,Tulip Real Estate and Development Netherlands B.V. ,Republic of Turkey,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/28
438,ARB/11/27,Baggerwerken Decloedt En Zoon NV,Republic of the Philippines,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/27
439,ARB(AF)/11/4,Mobile TeleSystems OJSC,Turkmenistan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/11/4
440,ARB/11/26,Tenaris S.A. and Talta - Trading e Marketing Sociedade Unipessoal Lda.,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/26
441,ARB/11/25,OI European Group B.V.,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/25
442,CONC/11/1,RSM Production Corporation,Republic of Cameroon ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=CONC/11/1
443,ARB/11/24,Mamidoil Jetoil Greek Petroleum Products Societe Anonyme S.A. ,Republic of Albania,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/24
444,ARB/11/23,Franck Charles Arif,Republic of Moldova,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/23
445,ARB/11/22,Vigotop Limited,Hungary ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/22
446,ARB/11/21,"DP World Callao S.R.L., P&O Dover (Holding) Limited, and The Peninsular and Oriental Steam Navigation Company",Republic of Peru,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/21
447,ARB/11/20,Garanti Koza LLP,Turkmenistan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/20
448,ARB/11/19,Koch Minerals Sàrl and Koch Nitrogen International Sàrl,Bolivarian Republic of Venezuela,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/19
449,ARB/11/18,Burimi SRL and Eagle Games SH.A,Republic of Albania ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/18
450,ARB/11/17,Renée Rose Levy and Gremcitel S.A.,Republic of Peru,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/17
451,ARB/11/16,"Hussain Sajwani, Damac Park Avenue for Real Estate Development S.A.E., and Damac Gamsha Bay for Development S.A.E.",Arab Republic of Egypt,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/16
452,ARB/11/15,Ekran Berhad,People's Republic of China,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/15
453,ARB/11/14,"Diamond Fields Liberia, Inc.",Republic of Liberia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/14
454,ARB/11/13,Rafat Ali Rizvi,Republic of Indonesia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/13
455,ARB/11/12,Fraport AG Frankfurt Airport Services Worldwide,Republic of the Philippines,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/12
456,ARB(AF)/11/3,"Vincent J. Ryan, Schooner Capital LLC, and Atlantic Investment Partners LLC",Republic of Poland ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/11/3
457,ARB/11/11,AHS Niger and Menzies Middle East and Africa S.A. ,Republic of Niger,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/11
458,ARB/11/10,"The Williams Companies, International Holdings B.V., WilPro Energy Services (El Furrial) Limited and WilPro Energy Services (Pigap II) Limited",Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/10
459,ARB/11/9,Caravelí Cotaruse Transmisora de Energía S.A.C.,Republic of Peru ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/9
460,ARB/11/8,Agility for Public Warehousing Company K.S.C.,Islamic Republic of Pakistan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/8
461,ARB/11/7,National Gas S.A.E.,Arab Republic of Egypt,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/7
462,ARB/11/6,Bawabet Al Kuwait Holding Company ,Arab Republic of Egypt,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/6
463,ARB(AF)/11/2,Crystallex International Corporation,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/11/2
464,ARB/11/5,Longreef Investments A.V.V.,Bolivarian Republic of Venezuela,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/5
465,ARB(AF)/11/1,Nova Scotia Power Incorporated,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/11/1
466,ARB/11/4,Club Hotel Loutraki S.A. and Casinos Austria International Holding GMBH,Republic of Serbia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/4
467,ARB/11/3,Accession Eastern Europe Capital AB and Mezzanine Management Sweden AB,Republic of Bulgaria,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/3
468,ARB/11/2,Türkiye Petrolleri Anonim Ortaklığı ,Republic of Kazakhstan ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/2
469,ARB/11/1,Highbury International AVV and Ramstein Trading Inc.,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/11/1
470,ARB/10/25,"Border Timbers Limited, Timber Products International (Private) Limited, and Hangani Development Co. (Private) Limited",Republic of Zimbabwe,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/25
471,ARB/10/24,İçkale İnşaat Limited Şirketi ,Turkmenistan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/24
472,ARB/10/23,"TECO Guatemala Holdings, LLC",Republic of Guatemala,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/23
473,ARB/10/22,Ömer Dede and Serdar Elhüseyni,Romania ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/22
474,ARB/10/21,"International Quantum Resources Limited, Frontier SPRL and Compagnie Minière de Sakania SPRL",Democratic Republic of the Congo,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/21
475,ARB/10/20,Standard Chartered Bank (Hong Kong) Limited,Tanzania Electric Supply Company Limited,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/20
476,ARB(AF)/10/1,David Minnotte and Robert Lewis,Republic of Poland,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/10/1
477,ARB/10/19,Flughafen Zürich A.G. and Gestión e Ingeniería IDC S.A. ,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/19
478,ARB/10/17,Renée Rose Levy de Levi,Republic of Peru,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/17
479,ARB/10/16,AES Corporation and Tau Power B.V.,Republic of Kazakhstan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/16
480,ARB/10/15,Bernhard von Pezold and others,Republic of Zimbabwe,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/15
481,ARB/10/14,Opic Karimum Corporation,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/14
482,ARB/10/13,"Hassan Awdi, Enterprise Business Consultants, Inc. and Alfa El Corporation",Romania,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/13
483,ARB/10/12,Standard Chartered Bank,United Republic of Tanzania,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/12
484,ARB/10/11,Niko Resources (Bangladesh) Ltd.,"Bangladesh Petroleum Exploration & Production Company Limited (""Bapex"") and Bangladesh Oil Gas and Mineral Corporation (""Petrobangla"") ",Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/11
485,ARB/10/10,Olyana Holdings LLC ,Republic of Rwanda,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/10
486,ARB/10/9,"Universal Compression International Holdings, S.L.U.",Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/9
487,ARB/10/8,Pan American Energy LLC,Plurinational State of Bolivia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/8
488,ARB/10/7,"Philip Morris Brand Sàrl (Switzerland), Philip Morris Products S.A. (Switzerland) and Abal Hermanos S.A. (Uruguay)",Oriental Republic of Uruguay,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/7
489,ARB/10/6,RSM Production Corporation and others ,Grenada ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/6
490,ARB/10/5,"Tidewater Investment SRL and Tidewater Caribe, C.A.",Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/5
491,ARB/10/4,Antoine Abou Lahoud and Leila Bounafeh-Abou Lahoud,Democratic Republic of the Congo,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/4
492,ARB/10/3,Metal-Tech Ltd.,Republic of Uzbekistan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/3
493,ARB/10/2,Convial Callao S.A. and CCI - Compañía de Concesiones de Infraestructura S.A.,Republic of Peru,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/2
494,ARB/10/1,Kılıç İnşaat İthalat İhracat Sanayi ve Ticaret Anonim Şirketi ,Turkmenistan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/1
495,ARB/09/23,Corporación Quiport S.A. and others,Republic of Ecuador,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/23
496,ARB/09/22,Itera International Energy LLC and Itera Group NV,Georgia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/22
497,ARB/09/21,"UAB ""ARVI"" ir ko and UAB ""SANITEX""",Republic of Serbia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/21
498,ARB(AF)/09/2,"Abengoa, S.A. y COFIDES, S.A.",United Mexican States ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/09/2
499,ARB/09/20,Reinhard Hans Unglaube,Republic of Costa Rica,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/20
500,ARB(AF)/09/1,Gold Reserve Inc.,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/09/1
501,ARB/09/19,Carnegie Minerals (Gambia) Limited,Republic of The Gambia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/19
502,ARB/09/18,Cambodia Power Company,Kingdom of Cambodia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/18
503,ARB/09/17,"Commerce Group Corp. and San Sebastian Gold Mines, Inc.",Republic of El Salvador,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/17
504,ARB/09/16,Swisslion DOO Skopje,"Macedonia, former Yugoslav Republic of",Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/16
505,ARB/09/15,"H&H Enterprises Investments, Inc.",Arab Republic of Egypt,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/15
506,ARB/09/14,"Mærsk Olie, Algeriet A/S ",People's Democratic Republic of Algeria,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/14
507,ARB/09/13,International Company for Railway Systems (ICRS),Hashemite Kingdom of Jordan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/13
508,ARB/09/12,Pac Rim Cayman LLC,Republic of El Salvador ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/12
509,ARB/09/11,"Global Trading Resource Corp. and Globex International, Inc.",Ukraine,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/11
510,ARB/09/10,EVN AG,"Macedonia, former Yugoslav Republic of",Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/10
511,ARB/09/9,Adem Dogan,Turkmenistan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/9
512,ARB/09/8,KT Asia Investment Group B.V.,Republic of Kazakhstan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/8
513,ARB/09/7,MTN (Dubai) Limited and MTN Yemen for Mobile Telephones,Republic of Yemen,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/7
514,ARB/09/6,"Vattenfall AB, Vattenfall Europe AG, Vattenfall Europe Generation AG",Federal Republic of Germany ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/6
515,ARB/09/5,"Iberdrola Energía, S.A.",Republic of Guatemala ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/5
516,ARB/09/4,"Elsamex, S.A.",Republic of Honduras,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/4
517,ARB/09/3,"Holcim Limited, Holderfin B.V. and Caricement B.V.",Bolivarian Republic of Venezuela,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/3
518,ARB/09/2,Deutsche Bank AG,Democratic Socialist Republic of Sri Lanka,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/2
519,ARB/09/1,"Teinver S.A., Transportes de Cercanías S.A. and Autobuses Urbanos del Sur S.A.",Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/09/1
520,ARB/08/20,Millicom International Operations B.V. and Sentel GSM S.A.,Republic of Senegal,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/20
521,ARB/08/19,Karmer Marble Tourism Construction Industry and Commerce Limited Liability Company,Georgia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/19
522,ARB/08/18,Malicorp Limited,Arab Republic of Egypt,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/18
523,ARB/08/17,Participaciones Inversiones Portuarias SARL,Gabonese Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/17
524,ARB/08/16,GEA Group Aktiengesellschaft,Ukraine,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/16
525,ARB/08/15,CEMEX Caracas Investments B.V. and CEMEX Caracas II Investments B.V.,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/15
526,ARB/08/14,Impregilo S.p.A.,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/14
527,ARB/08/13,Alapli Elektrik B.V.,Republic of Turkey,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/13
528,ARB/08/12,Caratube International Oil Company LLP,Republic of Kazakhstan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/12
529,ARB/08/11,"Bosh International, Inc. and B&P, LTD Foreign Investments Enterprise",Ukraine,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/11
530,ARB/08/10,"Repsol YPF Ecuador, S.A. and others",Republic of Ecuador and Empresa Estatal Petróleos del Ecuador (PetroEcuador),Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/10
531,ARB/08/9,Ambiente Ufficio S.p.A. and others,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/9
532,ARB/08/8,Inmaris Perestroika Sailing Maritime Services GmbH and others,Ukraine,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/8
533,ARB/08/7,Itera International Energy LLC and Itera Group NV,Georgia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/7
534,ARB/08/6,Perenco Ecuador Limited,Republic of Ecuador ,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/6
535,ARB/08/5,"Burlington Resources, Inc.",Republic of Ecuador ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/5
536,ARB/08/4,Murphy Exploration and Production Company International,Republic of Ecuador,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/4
537,ARB/08/3,"Brandes Investment Partners, LP",Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/3
538,ARB(AF)/08/1,Quadrant Pacific Growth Fund L.P. and Canasco Holdings Inc.,Republic of Costa Rica,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/08/1
539,ARB/08/2,"ATA Construction, Industrial and Trading Company",Hashemite Kingdom of Jordan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/2
540,ARB/08/1,Marion Unglaube,Republic of Costa Rica,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/08/1
541,ARB(AF)/07/4,Mobil Investments Canada Inc. and Murphy Oil Corporation,Canada,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/07/4
542,ARB/07/32,Astaldi S.p.A.,Republic of Honduras,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/32
543,ARB/07/31,HOCHTIEF Aktiengesellschaft,Argentine Republic,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/31
544,ARB/07/30,"ConocoPhillips Petrozuata B.V., ConocoPhillips Hamaca B.V. and ConocoPhillips Gulf of Paria B.V.",Bolivarian Republic of Venezuela,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/30
545,ARB/07/29,SGS Société Générale de Surveillance S.A.,Republic of Paraguay,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/29
546,ARB/07/28,E.T.I. Euro Telecom International N.V.,Plurinational State of Bolivia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/28
547,ARB/07/27,Venezuela Holdings B.V. and others,Bolivarian Republic of Venezuela,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/27
548,ARB/07/26,"Urbaser S.A. and Consorcio de Aguas Bilbao Bizkaia, Bilbao Biskaia Ur Partzuergoa",Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/26
549,ARB/07/25,"Trans-Global Petroleum, Inc.",Hashemite Kingdom of Jordan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/25
550,ARB/07/24,Gustav F W Hamester GmbH & Co KG,Republic of Ghana,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/24
551,ARB/05/8,Parkerings-Compagniet AS,Republic of Lithuania ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/8
552,ARB/06/20,Newmont USA Limited and Newmont (Uzbekistan) Limited,Republic of Uzbekistan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/20
553,ARB/06/14,Shell Brands International AG and Shell Nicaragua S.A.,Republic of Nicaragua ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/14
554,ARB/06/6,Rail World LLC and others,Republic of Estonia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/6
555,ARB/05/10,"Malaysian Historical Salvors, SDN, BHD",Malaysia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/10
556,ARB(AF)/05/1,Bayview Irrigation District and others ,United Mexican States ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/05/1
557,CONC/05/1,Togo Electricité,Republic of Togo ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=CONC/05/1
558,ARB/04/21,"Motorola Credit Corporation, Inc",Republic of Turkey ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/21
559,ARB/04/20,RGA Reinsurance Company ,Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/20
560,ARB/04/18,France Telecom S.A.,Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/18
561,ARB/04/17,Interbrew Central European Holding B.V.,Republic of Slovenia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/17
562,ARB/04/15,Telenor Mobile Communications AS ,Republic of Hungary ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/15
563,ARB/04/10,Alstom Power Italia SpA and Alstom SpA ,Republic of Mongolia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/10
564,ARB/04/7,Sociedad Anónima Eduardo Vieira,Republic of Chile ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/7
565,ARB/04/3,Cemex Asia Holdings Ltd,Republic of Indonesia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/3
566,ARB/04/2,Western NIS Enterprise Fund,Ukraine ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/2
567,ARB(AF)/04/2,"Cargill, Incorporated",Republic of Poland ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/04/2
568,ARB/03/26,Inceysa Vallisoletana S.L.,Republic of El Salvador ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/26
569,ARB/03/25,Fraport AG Frankfurt Airport Services Worldwide ,Republic of the Philippines ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/25
570,ARB/03/18,"Aguas Cordobesas S.A., Suez, and Sociedad General de Aguas de Barcelona S.A. ",Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/18
571,ARB/03/16,ADC Affiliate Limited and ADC & ADMC Management Limited ,Republic of Hungary ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/16
572,ARB/03/12,"Pioneer Natural Resources Company, Pioneer Natural Resources (Argentina) S.A. and Pioneer Natural Resources (Tierra del Fuego) S.A.",Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/12
573,ARB/03/11,Joy Mining Machinery Limited ,Arab Republic of Egypt ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/11
574,ARB/03/8,Consortium Groupement L.E.S.I. - DIPENTA ,People's Democratic Republic of Algeria ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/8
575,ARB/03/7,Camuzzi International S.A.,Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/7
576,ARB/03/6,"M.C.I. Power Group, L.C. and New Turbine, Inc.",Republic of Ecuador ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/6
