,Case No.,Claimant(s),Respondent(s),Status,Link
303,ARB/14/31,Tariq Bashir and SA Interpétrol Burundi,Republic of Burundi,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/31
304,ARB/12/39,Georg Gavrilovic and Gavrilovic d.o.o.,Republic of Croatia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/39
305,ARB/14/30,Beijing Urban Construction Group Co. Ltd.,Republic of Yemen,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/30
306,ARB/14/29,"Ioan Micula, Viorel Micula and others",Romania,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/29
307,ARB/14/28,Alpiq AG,Romania ,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/28
308,ARB/14/27,Zelena N.V. and Energo-Zelena d.o.o Inđija,Republic of Serbia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/27
309,ARB/14/26,"Albaniabeg Ambient Sh.p.k, M. Angelo Novelli and Costruzioni S.r.l.",Republic of Albania ,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/26
310,ARB/14/25,"Ansung Housing Co., Ltd.",People's Republic of China ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/25
311,ARB/10/18,Niko Resources (Bangladesh) Ltd.,"Bangladesh Petroleum Exploration and Production Company Limited (""Bapex"") and Bangladesh Oil Gas and Mineral Corporation (""Petrobangla"")",Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/10/18
312,ARB/14/24,United Utilities (Tallinn) B.V. and Aktsiaselts Tallinna Vesi,Republic of Estonia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/24
313,ARB/14/23,Tamagot Bumi S.A. and Bumi Mauritania S.A.,Islamic Republic of Mauritania,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/23
314,ARB/12/1,Tethyan Copper Company Pty Limited,Islamic Republic of Pakistan,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/1
315,ARB(AF)/00/2,"Técnicas Medioambientales Tecmed, S.A.",United Mexican States ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/00/2
316,ARB/14/22,"BSG Resources Limited (in administration), BSG Resources (Guinea) Limited and BSG Resources (Guinea) SÀRL",Republic of Guinea,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/22
317,ARB/14/21,Bear Creek Mining Corporation,Republic of Peru,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/21
318,ARB/14/20,Sodexo Pass International SAS,Hungary,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/20
319,ARB/14/19,VICAT,Republic of Senegal,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/19
320,ARB/14/18,RENERGY S.à r.l. ,Kingdom of Spain,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/18
321,ARB(AF)/14/3,"Corona Materials, LLC ",Dominican Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/14/3
322,ARB/14/17,Krederi Ltd.,Ukraine,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/17
323,ARB/14/16,Cyprus Popular Bank Public Co. Ltd.,Hellenic Republic,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/16
324,ARB/14/15,Nusa Tenggara Partnership B.V. and PT Newmont Nusa Tenggara,Republic of Indonesia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/15
325,ARB/14/14,EuroGas Inc. and Belmont Resources Inc.,Slovak Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/14
326,ARB(AF)/14/2,Oded Besserglik,Republic of Mozambique,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/14/2
327,ARB/14/13,Elektrogospodarstvo Slovenije - razvoj in inzeniring d.o.o.,Bosnia and Herzegovina,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/13
328,UNCT/14/2,Eli Lilly and Company,Canada,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=UNCT/14/2
329,ARB/14/12,InfraRed Environmental Infrastructure GP Limited and others ,Kingdom of Spain ,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/12
